none,none,none,none,none,none,none,permanent,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,enabled,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
permanent,none,enabled,none,none,none,none,none,none,none,none,none,none,none,enabled,permanent
none,none,none,none,none,none,none,enabled,none,none,none,none,none,none,none,none
none,none,none,none,enabled,none,none,none,none,none,enabled,none,enabled,none,none,none
none,enabled,none,none,none,none,none,none,none,none,none,none,none,none,enabled,none
none,none,none,none,enabled,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,permanent,none,none,none,none,none,none,none,none
